pk,id,name,parent_id
1,50,"Авиа-, ж/д-, водный транспорт",6764
2,54,"Авто-, мото",6764
3,331,Антиквариат и коллекционирование,6764
4,585,Безопасность и защита,6764
5,1367,"Грузовики, автобусы, спецтехника",6764
6,1639,Дом и сад,6764
7,1642,Домашние животные и зоотовары,6764
8,2089,"Изделия из металла, пластика, резины",6764
9,2159,Инструмент,6764
10,2274,Канцтовары,6764
11,2828,Контрольно-измерительные приборы,6764
12,2950,Красота и здоровье,6764
13,3393,Материалы для ремонта,6764
14,3470,Медицина,6764
15,3914,Недвижимость,6764
16,3917,Незабываемый выпускной,6764
17,3920,Неликвидные запасы (стоки),6764
18,4223,Оборудование и товары для предоставления услуг,6764
19,4332,"Одежда, обувь, аксессуары",6764
20,4483,Отопление,6764
21,4886,Подарки любимым,6764
22,4888,"Подарки, хобби, книги",6764
23,5198,"Продукты питания, напитки",6764
24,5258,Промышленная химия,6764
25,5266,Промышленное оборудование и станки,6764
26,5835,Свадебные товары,6764
27,5893,"Сельхозпродукция, техника и оборудование",6764
28,6136,Спорт и отдых,6764
29,6427,Строительство,6764
30,6581,Сырье и материалы,6764
31,6608,Тара и упаковка,6764
32,6640,Телекоммуникации и связь,6764
33,6733,Техника и электроника,6764
34,6771,Товары для детей,6764
35,7034,Украшения и часы,6764
36,7857,Электрооборудование,6764
37,1056,Водный транспорт,50
38,1084,Воздушный транспорт,50
39,1751,Железнодорожный транспорт и комплектующие,50
40,6117,Специальное оборудование для транспортировки,50
41,6893,Трамваи,50
42,6905,"Транспортные средства, общее",50
43,1055,Водные скутеры,1056
44,2345,Катеры,1056
45,2711,"Комплектующие, запчасти к водному транспорту",1056
46,3239,Лодки,1056
47,3241,Лодочные моторы,1056
48,3242,Лодочные прицепы,1056
49,4747,Плавающие конструкции,1056
50,4749,Плавсредства для отдыха,1056
51,5033,Понтоны и причалы,1056
52,6007,Системы управления судном,1056
53,6492,Суда,1056
54,6493,Судовое электрооборудование,1056
55,6500,Судовые системы водоснабжения и канализации,1056
56,7937,Яхты,1056
57,2344,Катер прогулочный,2345
58,2346,"Катеры, общее",2345
59,3689,Моторный катер,2345
60,745,"Буйки, кранцы",2711
61,1027,Винты гребные,2711
62,1869,Запчасти для лодочных моторов,2711
63,2156,Инспекционные люки судов,2711
64,2223,Кабель судовой,2711
65,2712,"Комплектующие, запчасти к водному транспорту, общее",2711
66,4227,Оборудование судовое,2711
67,6497,"Судовые лестницы, транцы",2711
68,6502,Судовые швартовые утки,2711
69,6833,Топливное оборудование для лодок и катеров,2711
70,7621,Чехлы на водный транспорт,2711
71,7934,Якорное оборудование судов,2711
72,2542,Комбинированные лодки,3239
73,3519,Металлические лодки,3239
74,527,"Байдарки, рафты, катамараны",4749
75,910,"Велосипеды водные, катамараны",4749
76,955,"Весла, багры",4749
77,2670,Комплектующие и аксессуары для лодок,4749
78,3240,Лодки пластиковые и стеклопластиковые,4749
79,3812,Надувные лодки,4749
80,252,Аксессуары для систем управления судном,6007
81,1258,Гидравлические рулевые системы управления судном,6007
82,1618,Дистанционное управление лодочными моторами,6007
83,3551,Механические рулевые системы управления судном,6007
84,5713,Рулевые тросы для лодок,6007
85,6501,Судовые тросы управления газом/реверсом,6007
86,2353,Каютное освещение,6493
87,3801,Навигационные огни судна,6493
